"Symbol","Description","Local Symbol","IPO Date","Category1","Category2","Category3","GICS Sector","ISIN","SEDOL","Market Cap","Currency","Actions"
"JT:3455","Healthcare & Medical Investment Corporation","3455","03/19/2015","Global Equity","Common stocks","Developed markets ex-US","Real Estate","JP3047910009","BVVFD01","50,786,463,744","JPY","Analyze"
"JT:8714","Senshu Ikeda Holdings, Inc","8714","10/01/2009","Global Equity","Common stocks","Developed markets ex-US","Financials","JP3132600002","B40T3T4","50,733,215,744","JPY","Analyze"
"JT:8934","Sun Frontier Fudousan Co., Ltd","8934","02/26/2007","Global Equity","Common stocks","Developed markets ex-US","Real Estate","JP3336950005","B03BJB3","50,646,855,680","JPY","Analyze"
"JT:9474","Zenrin Co., Ltd","9474","09/13/1996","Global Equity","Common stocks","Developed markets ex-US","Communication Services","JP3430400006","6991120","50,107,830,272","JPY","Analyze"
"JT:9260","Nishimoto Co Ltd","9260","09/29/2017","Global Equity","Common stocks","Developed markets ex-US","Consumer Staples","JP3659350007","","50,020,204,544","JPY","Analyze"
"JT:8386","The Hyakujushi Bank, Ltd","8386","01/24/1984","Global Equity","Common stocks","Developed markets ex-US","Financials","JP3794200000","6659707","49,844,858,880","JPY","Analyze"
"JT:8032","Japan Pulp and Paper Company Limited","8032","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Industrials","JP3694000005","6470306","49,768,263,680","JPY","Analyze"
"JT:8920","Tosho Co., Ltd","8920","03/15/2013","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","JP3594400008","6727671","49,760,792,576","JPY","Analyze"
"JT:1722","Misawa Homes Co., Ltd","1722","08/01/2003","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","JP3885010003","6652676","49,648,640,000","JPY","Analyze"
"JT:2208","Bourbon Corporation","2208","07/22/1985","Global Equity","Common stocks","Developed markets ex-US","Consumer Staples","JP3831400001","6494210","49,562,337,280","JPY","Analyze"
"JT:8346","The Toho Bank, Ltd","8346","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Financials","JP3601000007","6893806","49,403,170,816","JPY","Analyze"
"JT:8173","Joshin Denki Co., Ltd","8173","12/18/1985","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","JP3393000009","6479604","49,393,053,696","JPY","Analyze"
"JT:8600","TOMONY Holdings, Inc","8600","04/01/2010","Global Equity","Common stocks","Developed markets ex-US","Financials","JP3631700006","B6391L3","49,337,597,952","JPY","Analyze"
"JT:8739","SPARX Group Co., Ltd","8739","12/05/2001","Global Equity","Common stocks","Developed markets ex-US","Financials","JP3399900004","6419224","49,254,518,784","JPY","Analyze"
"JT:2170","Link and Motivation Inc","2170","12/18/2007","Global Equity","Common stocks","Developed markets ex-US","Industrials","JP3977020001","B298ZY7","49,198,841,856","JPY","Analyze"
"JT:8167","Retail Partners Co., Ltd","8167","05/30/2018","Global Equity","Common stocks","Developed markets ex-US","Consumer Staples","JP3873200004","6569787","48,613,236,736","JPY","Analyze"
"JT:8508","J Trust Co., Ltd","8508","09/09/1998","Global Equity","Common stocks","Developed markets ex-US","Financials","JP3142350002","6126717","48,329,945,088","JPY","Analyze"
"JT:9267","GENKY DRUGSTORES LTD","9267","05/27/2010","Global Equity","Common stocks","Developed markets ex-US","Consumer Staples","JP3282750003","BF41GY9","48,128,843,776","JPY","Analyze"
"JT:3385","Yakuodo Co., Ltd","3385","09/16/2005","Global Equity","Common stocks","Developed markets ex-US","Consumer Staples","JP3931400000","B0H4MV9","47,869,984,768","JPY","Analyze"
"JT:3451","Tosei Reit Investment Corporation","3451","11/27/2014","Global Equity","Common stocks","Developed markets ex-US","Real Estate","JP3047830009","BSKPSK6","47,646,359,552","JPY","Analyze"
"JT:6282","Oiles Corporation","6282","03/14/1994","Global Equity","Common stocks","Developed markets ex-US","Industrials","JP3174200000","6657530","47,213,248,512","JPY","Analyze"
"JT:8396","The Eighteenth Bank, Limited","8396","01/09/1984","Global Equity","Common stocks","Developed markets ex-US","Financials","JP3392200006","6307169","46,990,606,336","JPY","Analyze"
"JT:6095","Medpeer Inc","6095","06/27/2014","Global Equity","Common stocks","Developed markets ex-US","Health Care","JP3921240002","BN3YZP9","46,863,855,616","JPY","Analyze"
"JT:9052","Sanyo Electric Railway Co.,Ltd","9052","01/06/1984","Global Equity","Common stocks","Developed markets ex-US","Industrials","JP3341600009","6772950","46,440,218,624","JPY","Analyze"
"JT:8014","Chori Co., Ltd","8014","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Industrials","JP3528200003","6193506","46,347,341,824","JPY","Analyze"
"JT:7995","Valqua, Ltd","7995","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Materials","JP3744200001","6643625","46,131,089,408","JPY","Analyze"
"JT:3458","Cre Inc","3458","04/21/2015","Global Equity","Common stocks","Developed markets ex-US","Real Estate","JP3346080009","BWTV870","46,117,675,008","JPY","Analyze"
"JT:9726","KNT-CT Holdings Co., Ltd","9726","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","JP3260400001","6492980","45,300,871,168","JPY","Analyze"
"JT:6258","Hirata Corporation","6258","12/15/2006","Global Equity","Common stocks","Developed markets ex-US","Industrials","JP3795300007","B1GZ9S6","44,579,950,592","JPY","Analyze"
"JT:4548","Seikagaku Corporation","4548","11/06/1989","Global Equity","Common stocks","Developed markets ex-US","Health Care","JP3414000004","6763943","44,466,524,160","JPY","Analyze"
"JT:4477","Base Inc","4477","10/25/2019","Global Equity","Common stocks","Developed markets ex-US","Information Technology","JP3835260005","BKRQ8Q2","44,250,832,896","JPY","Analyze"
"JT:9755","OYO Corporation","9755","08/16/1988","Global Equity","Common stocks","Developed markets ex-US","Industrials","JP3174600001","6665061","43,746,877,440","JPY","Analyze"
