Name;Market ID;Market Name;ISIN;Symbol;CCY;CSD;Type;ADT (EUR);Large In Scale (Local Currency);Live Date;End Date;TrackInsight A-list
TECNICAS REUNIDAS SA;XMAD;Bolsa de Madrid;ES0178165017;TREe;EUR;ES;EQ;14.831.411;300.000;30. Sep 19;;N
TUBOS REUNIDOS SA;XMAD;Bolsa de Madrid;ES0180850416;TRGe;EUR;ES;EQ;359.040;60.000;30. Sep 19;;N
TUBACEX SA;XMAD;Bolsa de Madrid;ES0132945017;TUBe;EUR;ES;EQ;1.727.032;200.000;30. Sep 19;;N
URBAS GRUPO FINANCIERO SA;XMAD;Bolsa de Madrid;ES0182280018;UBSe;EUR;ES;EQ;82.906;30.000;30. Sep 19;;N
UNICAJA BANCO SA;XMAD;Bolsa de Madrid;ES0180907000;UNIe;EUR;ES;EQ;12.922.813;300.000;30. Sep 19;;N
VERTICE TRESCIENTOS SESENTA;XMAD;Bolsa de Madrid;ES0183304312;VERe;EUR;ES;EQ;369.465;60.000;30. Sep 19;;N
VIDRALA SA;XMAD;Bolsa de Madrid;ES0183746314;VIDe;EUR;ES;EQ;2.891.530;200.000;30. Sep 19;;N
VISCOFAN SA;XMAD;Bolsa de Madrid;ES0184262212;VISe;EUR;ES;EQ;18.638.140;300.000;30. Sep 19;;N
VOCENTO SA;XMAD;Bolsa de Madrid;ES0114820113;VOCe;EUR;ES;EQ;106.536;60.000;30. Sep 19;;N
ZARDOYA OTIS SA;XMAD;Bolsa de Madrid;ES0184933812;ZOTe;EUR;ES;EQ;9.371.272;300.000;30. Sep 19;;N
