Name;Market ID;Market Name;ISIN;Symbol;CCY;CSD;Type;ADT (EUR);Large In Scale (Local Currency);Live Date;End Date;TrackInsight A-list
REDCENTRIC PLC;AIMX;London Stock Exchange - AIM;GB00B7TW1V39;RCNl;GBX;GB;EQ;779.234;8.945.300;30. Sep 19;;N
REDDE PLC;AIMX;London Stock Exchange - AIM;GB00BLWF0R63;REDDl;GBX;GB;EQ;1.841.227;17.890.600;30. Sep 19;;N
ROCKHOPPER EXPLORATION PLC;AIMX;London Stock Exchange - AIM;GB00B0FVQX23;RKHl;GBX;GB;EQ;1.768.743;17.890.600;30. Sep 19;;N
RENEW HOLDINGS PLC;AIMX;London Stock Exchange - AIM;GB0005359004;RNWHl;GBX;GB;EQ;414.073;5.367.180;30. Sep 19;;N
REGAL PETROLEUM PLC;AIMX;London Stock Exchange - AIM;GB0031775819;RPTl;GBX;GB;EQ;315.122;5.367.180;30. Sep 19;;N
RWS HOLDINGS PLC;AIMX;London Stock Exchange - AIM;GB00BVFCZV34;RWSl;GBX;GB;EQ;4.497.633;17.890.600;30. Sep 19;;N
M&C SAATCHI PLC;AIMX;London Stock Exchange - AIM;GB00B01F7T14;SAAl;GBX;GB;EQ;490.090;5.367.180;30. Sep 19;;N
SCAPA GROUP PLC;AIMX;London Stock Exchange - AIM;GB0007281198;SCPAl;GBX;GB;EQ;2.636.666;17.890.600;30. Sep 19;;N
STERLING ENERGY PLC;AIMX;London Stock Exchange - AIM;GB00B4X3Q493;SEYl;GBX;GB;EQ;7.847;1.341.795;30. Sep 19;;N
SAFESTYLE UK PLC;AIMX;London Stock Exchange - AIM;JE00BGP63272;SFEl;GBX;GB;EQ;432.639;5.367.180;30. Sep 19;;N
SECURE INCOME REIT PLC;AIMX;London Stock Exchange - AIM;GB00BLMQ9L68;SIRl;GBX;GB;EQ;1.126.600;17.890.600;30. Sep 19;;N
SAN LEON ENERGY PLC;AIMX;London Stock Exchange - AIM;IE00BWVFTP56;SLEl;GBX;GB;EQ;1.558.497;17.890.600;30. Sep 19;;N
SILENCE THERAPEUTICS PLC;AIMX;London Stock Exchange - AIM;GB00B9GTXM62;SLNl;GBX;GB;EQ;561.292;8.945.300;30. Sep 19;;N
SMART METERING SYSTEMS PLC;AIMX;London Stock Exchange - AIM;GB00B4X1RC86;SMSl;GBX;GB;EQ;4.670.384;17.890.600;30. Sep 19;;N
SOUND ENERGY PLC;AIMX;London Stock Exchange - AIM;GB00B90XFF12;SOUl;GBX;GB;EQ;985.767;8.945.300;30. Sep 19;;N
SERICA ENERGY PLC;AIMX;London Stock Exchange - AIM;GB00B0CY5V57;SQZl;GBX;GB;EQ;1.020.719;17.890.600;30. Sep 19;;N
STAFFLINE GROUP PLC;AIMX;London Stock Exchange - AIM;GB00B040L800;STAFl;GBX;GB;EQ;1.496.510;17.890.600;30. Sep 19;;N
TANFIELD GROUP PLC;AIMX;London Stock Exchange - AIM;GB00B4QHFM95;TANl;GBX;GB;EQ;12.053;1.341.795;30. Sep 19;;N
TELIT COMMUNICATIONS PLC;AIMX;London Stock Exchange - AIM;GB00B06GM726;TCMl;GBX;GB;EQ;5.580.414;26.835.900;30. Sep 19;;N
THORPE (F.W.) PLC;AIMX;London Stock Exchange - AIM;GB00BC9ZLX92;TFWl;GBX;GB;EQ;116.154;5.367.180;30. Sep 19;;N
TRIBAL GROUP PLC;AIMX;London Stock Exchange - AIM;GB0030181522;TRBl;GBX;GB;EQ;128.295;5.367.180;30. Sep 19;;N
TUNGSTEN CORP PLC;AIMX;London Stock Exchange - AIM;GB00B7Z0Q502;TUNGl;GBX;GB;EQ;268.899;5.367.180;30. Sep 19;;N
ULS TECHNOLOGY PLC;AIMX;London Stock Exchange - AIM;GB00BNG8T458;ULSl;GBX;GB;EQ;158.340;5.367.180;30. Sep 19;;N
VELOCYS PLC;AIMX;London Stock Exchange - AIM;GB00B11SZ269;VLSl;GBX;GB;EQ;642.612;8.945.300;30. Sep 19;;N
VERTU MOTORS PLC;AIMX;London Stock Exchange - AIM;GB00B1GK4645;VTUl;GBX;GB;EQ;416.003;5.367.180;30. Sep 19;;N
WANDISCO PLC;AIMX;London Stock Exchange - AIM;JE00B6Y3DV84;WANDl;GBX;GB;EQ;1.155.997;17.890.600;30. Sep 19;;N
NAKED WINES PLC;AIMX;London Stock Exchange - AIM;GB00B021F836;WINEl;GBX;GB;EQ;1.076.425;17.890.600;30. Sep 19;;N
WATKIN JONES PLC;AIMX;London Stock Exchange - AIM;GB00BD6RF223;WJGl;GBX;GB;EQ;1.522.129;17.890.600;30. Sep 19;;N
WATCHSTONE GROUP PLC;AIMX;London Stock Exchange - AIM;GB00BYNBFN51;WTGl;GBX;GB;EQ;142.383;5.367.180;30. Sep 19;;N
YOUNG & CO'S BREWERY PLC - A;AIMX;London Stock Exchange - AIM;GB00B2NDK765;YNGAl;GBX;GB;EQ;287.967;5.367.180;30. Sep 19;;N
GROUPE ACTIPLAY;ALXP;EURONEXT GROWTH FR;FR0011038348;ALACTp;EUR;SA;EQ;1.661;15.000;30. Sep 19;;N
ADA;ALXP;EURONEXT GROWTH FR;FR0000053076;ALADAp;EUR;SA;EQ;3.051;15.000;30. Sep 19;;N
ADOMOS;ALXP;EURONEXT GROWTH FR;FR0013247244;ALADOp;EUR;SA;EQ;363.976;60.000;30. Sep 19;;N
AGROGENERATION;ALXP;EURONEXT GROWTH FR;FR0010641449;ALAGRp;EUR;SA;EQ;25.775;15.000;30. Sep 19;;N
